Sharabella Wines,Lodi,California,US,4/1/2018,4/1/2018,
Splendore,Ribera del Duero,Northern Spain,Spain,4/1/2018,4/1/2018,
Angove's,Coonawarra,South Australia,Australia,4/1/2018,4/1/2018,
Agricola Sulin,Barbera del Monferrato Superiore,Piedmont,Italy,4/1/2018,4/1/2018,
Angelo Negro & Figli,Barbera d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Antonia Gazzi,Barbera d'Asti,Piedmont,Italy,4/1/2018,4/1/2018,
Brazin,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Castello di Uviglie,Barbera del Monferrato Superiore,Piedmont,Italy,4/1/2018,4/1/2018,
Marco Canato,Barbera del Monferrato Superiore,Piedmont,Italy,4/1/2018,4/1/2018,
Marziano Abbona,Dolcetto di Dogliani,Piedmont,Italy,4/1/2018,4/1/2018,
Domaine La Jeanne,Pays d'Oc,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Sun Garden,,Rheinhessen,Germany,4/1/2018,4/1/2018,
Pascal Rollet,Mâcon-Villages,Burgundy,France,4/1/2018,4/1/2018,
Gallo Signature Series,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Manenti,Cerasuolo di Vittoria,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Marilena Barbera,Menfi,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Barnett,Napa Valley,California,US,4/1/2018,4/1/2018,
Vie di Romans,Venezia Giulia,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Ravenswood,Russian River Valley,California,US,4/1/2018,4/1/2018,
Milliaire,Sierra Foothills,California,US,4/1/2018,4/1/2018,
Sausal,Sonoma County,California,US,4/1/2018,4/1/2018,
Alderbrook,Sonoma County,California,US,4/1/2018,4/1/2018,
Steele,Mendocino,California,US,4/1/2018,4/1/2018,
Domaine Borie de Maurel,Minervois,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Château Souverain,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Clos du Lac,Shenandoah Valley (CA),California,US,4/1/2018,4/1/2018,
Penfolds,Australia,Australia Other,Australia,4/1/2018,4/1/2018,
Sonoma Creek,Contra Costa County,California,US,4/1/2018,4/1/2018,
Grgich Hills,Sonoma County,California,US,4/1/2018,4/1/2018,
Sogrape,,Port,Portugal,4/1/2018,4/1/2018,
Shane Wines,Sonoma Coast,California,US,4/1/2018,4/1/2018,
James Oatley,South Eastern Australia,Australia Other,Australia,4/1/2018,4/1/2018,
Temptation,California,California,US,4/1/2018,4/1/2018,
Alberti 154,Tupungato,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Château de Lancyre,Vin de Pays de Montferrand,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Bookster,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Cimarossa,Howell Mountain,California,US,4/1/2018,4/1/2018,
Monastir,Cariñena,Northern Spain,Spain,4/1/2018,4/1/2018,
Haraszthy,Sonoma County,California,US,4/1/2018,4/1/2018,
Bourgeois Family,Crémant de Limoux,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Raymond,Yountville,California,US,4/1/2018,4/1/2018,
Sogevinus,,Port,Portugal,4/1/2018,4/1/2018,
Terre di San Venanzio Fortunato,Valdobbiadene Superiore di Cartizze,Veneto,Italy,4/1/2018,4/1/2018,
Vignobles Bulliat,Moulin-à-Vent,Beaujolais,France,4/1/2018,4/1/2018,
Domaine Lathuilière-Gravallon,Beaujolais Blanc,Beaujolais,France,4/1/2018,4/1/2018,
Domaine Sangouard,Beaujolais-Leynes,Beaujolais,France,4/1/2018,4/1/2018,
Messina Hof,Texas High Plains,Texas,US,4/1/2018,4/1/2018,
Batasiolo,Barbaresco,Piedmont,Italy,4/1/2018,4/1/2018,
Château Grand Marchand,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Lamothe de Haux,Cadillac,Bordeaux,France,4/1/2018,4/1/2018,
Cameron Hughes,Lodi,California,US,4/1/2018,4/1/2018,
Chaman,La Consulta,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Château Arnaucosse,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Kirkland Signature,Friuli Grave,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Carpineto,Maremma,Tuscany,Italy,4/1/2018,4/1/2018,
Domaine du Gouyat,Bergerac,Southwest France,France,4/1/2018,4/1/2018,
Forchir,Friuli Grave,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Bon Cap,,Robertson,South Africa,4/1/2018,4/1/2018,
Carivintas,Dunnigan Hills,California,US,4/1/2018,4/1/2018,
Tenuta Valli,Albana di Romagna,Central Italy,Italy,4/1/2018,4/1/2018,
Wheelhouse,Napa Valley,California,US,4/1/2018,4/1/2018,
Promise,Rutherford,California,US,4/1/2018,4/1/2018,
Sean Thackrey,California,California,US,4/1/2018,4/1/2018,
Bartalotti,Rutherford,California,US,4/1/2018,4/1/2018,
Kapcsandy Family Winery,Yountville,California,US,4/1/2018,4/1/2018,
Castro Pena Alba,,Douro,Portugal,4/1/2018,4/1/2018,
Coturri Winery,Mendocino County,California,US,4/1/2018,4/1/2018,
Evodia,Calatayud,Northern Spain,Spain,4/1/2018,4/1/2018,
Suncé Vineyard & Winery,North Coast,California,US,4/1/2018,4/1/2018,
Suncé Vineyard & Winery,Suisun Valley,California,US,4/1/2018,4/1/2018,
Maysie Cellars,Mendocino County,California,US,4/1/2018,4/1/2018,
Menduco,Uco Valley,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Michel Picard,Châteauneuf-du-Pape,Rhône Valley,France,4/1/2018,4/1/2018,
Roney,Stags Leap District,California,US,4/1/2018,4/1/2018,
True Vine,El Dorado County,California,US,4/1/2018,4/1/2018,
Bianchi,Edna Valley,California,US,4/1/2018,4/1/2018,
E. Guigal,Crozes-Hermitage,Rhône Valley,France,4/1/2018,4/1/2018,
Marco Cottini,Amarone della Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Bodega Furlotti,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Grotta del Ninfeo,Amarone della Valpolicella,Veneto,Italy,4/1/2018,4/1/2018,
Bernard Magrez,Laudun,Rhône Valley,France,4/1/2018,4/1/2018,
Domaine Jean-Michel Gerin,Collines Rhôdaniennes,Rhône Valley,France,4/1/2018,4/1/2018,
Achaia Clauss,,Peloponnese,Greece,4/1/2018,4/1/2018,
Cascina Bretta Rossa,Alta Langa,Piedmont,Italy,4/1/2018,4/1/2018,
Château Belcier,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Andreola,Valdobbiadene Superiore di Cartizze,Veneto,Italy,4/1/2018,4/1/2018,
Anonymous,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Château les Bormettes,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Gran Passione,Gavi,Piedmont,Italy,4/1/2018,4/1/2018,
Ninety+,Napa Valley,California,US,4/1/2018,4/1/2018,
Trinitas,Oakville,California,US,4/1/2018,4/1/2018,
Pfneisl United Vineyards,,Burgenland,Austria,4/1/2018,4/1/2018,
Signorello,Russian River Valley,California,US,4/1/2018,4/1/2018,
Stratton Lummis,Carneros,California,US,4/1/2018,4/1/2018,
Streamside,Napa Valley,California,US,4/1/2018,4/1/2018,
Castoro Cellars,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Righteous,Wahluke Slope,Washington,US,4/1/2018,4/1/2018,
Château de Carolle,Graves,Bordeaux,France,4/1/2018,4/1/2018,
Birgit Braunstein,,Leithaberg,Austria,4/1/2018,4/1/2018,
Château Valcombe,Ventoux,Rhône Valley,France,4/1/2018,4/1/2018,
Dario Coos,Ramandolo,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Ridge,Napa Valley,California,US,4/1/2018,4/1/2018,
Evolve,Sonoma Valley,California,US,4/1/2018,4/1/2018,
Montevina,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Roy J. Maier,Sonoma County,California,US,4/1/2018,4/1/2018,
Cistus,,Douro,Portugal,4/1/2018,4/1/2018,
Quinta de Bandeiras,,Douro,Portugal,4/1/2018,4/1/2018,
Garnet Vineyards,Carneros,California,US,4/1/2018,4/1/2018,
Villa San Giovanni,Moscato d'Asti,Piedmont,Italy,4/1/2018,4/1/2018,
Château la Voie,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Laubes,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Montcabrier,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Château Rouzerol,Castillon Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Saint Urbain,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Bright Angel WInes,Sta. Rita Hills,California,US,4/1/2018,4/1/2018,
Barkan,,Galilee,Israel,4/1/2018,4/1/2018,
Buil & Giné,Priorat,Catalonia,Spain,4/1/2018,4/1/2018,
Foundry,California,California,US,4/1/2018,4/1/2018,
Matteo Correggia,Barbera d'Alba Superiore,Piedmont,Italy,4/1/2018,4/1/2018,
Icardi,Barbera d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Château Hoste-Blanc,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Château La Rose Poncet,Castillon Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Le Pin de Belcier,Castillon Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Wm. Harrison,Carneros,California,US,4/1/2018,4/1/2018,
18401 Cellars,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Spindrift Cellars,Walla Walla Valley (OR),Oregon,US,4/1/2018,4/1/2018,
Château de Fountgraves,Coteaux du Languedoc,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Château de Fuissé,Juliénas,Beaujolais,France,4/1/2018,4/1/2018,
Albino Armani,Amarone della Valpolicella,Veneto,Italy,4/1/2018,4/1/2018,
Brotte,Tavel,Rhône Valley,France,4/1/2018,4/1/2018,
Villa Mora,Montefalco Rosso,Central Italy,Italy,4/1/2018,4/1/2018,
La Antigua,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Campo della Maestà,Montefalco Sagrantino,Central Italy,Italy,4/1/2018,4/1/2018,
Manzini,Valpolicella Classico Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Montelle,Missouri,Missouri,US,4/1/2018,4/1/2018,
Ossiam,Utiel-Requena,Levante,Spain,4/1/2018,4/1/2018,
Stark Raving,California,California,US,4/1/2018,4/1/2018,
Pagos del Rey,Valdepeñas,Central Spain,Spain,4/1/2018,4/1/2018,
Domaine Bernard Moreau et Fils,Bourgogne,Burgundy,France,4/1/2018,4/1/2018,
Jacuzzi,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Domaine Faiveley,Chablis,Burgundy,France,4/1/2018,4/1/2018,
Watts,Clements Hills,California,US,4/1/2018,4/1/2018,
Zina Hyde Cunningham,Sonoma County,California,US,4/1/2018,4/1/2018,
Ricardus Corculum,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Indian Valley,Central Coast,California,US,4/1/2018,4/1/2018,
Lucas Carton,Côtes du Rhône,Rhône Valley,France,4/1/2018,4/1/2018,
Alchemy Wine Productions,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
Altozano,Tierra del Viños de Zamora,Northern Spain,Spain,4/1/2018,4/1/2018,
Castello del Poggio,Asti,Piedmont,Italy,4/1/2018,4/1/2018,
Firelands,Isle St. George,Ohio,US,4/1/2018,4/1/2018,
Zimòr,Friuli Grave,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Roessler,Mendocino,California,US,4/1/2018,4/1/2018,
Poderi San Lazzaro,Offida Pecorino,Central Italy,Italy,4/1/2018,4/1/2018,
Shadybrook,Coombsville,California,US,4/1/2018,4/1/2018,
Ciù Ciù,Offida Pecorino,Central Italy,Italy,4/1/2018,4/1/2018,
Antolini,Recioto della Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Marcus James,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
J.L. Chave,Hermitage,Rhône Valley,France,4/1/2018,4/1/2018,
Dalla Valle,Napa Valley,California,US,4/1/2018,4/1/2018,
Nanni Copé,Terre del Volturno,Southern Italy,Italy,4/1/2018,4/1/2018,
Xavier Flouret,,Stellenbosch,South Africa,4/1/2018,4/1/2018,
Joel Gott,Amador County,California,US,4/1/2018,4/1/2018,
Laird,Oak Knoll District,California,US,4/1/2018,4/1/2018,
Tedeschi,Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Musella,Valpolicella Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Musella,Valpolicella Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Seven of Hearts,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Viña Ludy,Rías Baixas,Galicia,Spain,4/1/2018,4/1/2018,
Lamberti,Veneto,Veneto,Italy,4/1/2018,4/1/2018,
Seneca Shore,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Clos des Justices,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
True Myth,Paso Robles,California,US,4/1/2018,4/1/2018,
Ca'Tullio,Colli Orientali del Friuli,Northeastern Italy,Italy,4/1/2018,4/1/2018,
R & B Cellars,El Dorado,California,US,4/1/2018,4/1/2018,
I Clivi,Collio,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Conclusion,Sonoma County,California,US,4/1/2018,4/1/2018,
Domaine Barmès-Buecher,Crémant d'Alsace,Alsace,France,4/1/2018,4/1/2018,
Conte Leopardi,Rosso Conero,Central Italy,Italy,4/1/2018,4/1/2018,
Saladini Pilastri,Rosso Piceno Superiore,Central Italy,Italy,4/1/2018,4/1/2018,
Casella,South Australia,South Australia,Australia,4/1/2018,4/1/2018,
Caliza,Central Coast,California,US,4/1/2018,4/1/2018,
Patz & Hall,Mendocino,California,US,4/1/2018,4/1/2018,
Rijckaert,Pouilly-Fuissé,Burgundy,France,4/1/2018,4/1/2018,
Saviah,Washington,Washington,US,4/1/2018,4/1/2018,
Los Padres,Central Coast,California,US,4/1/2018,4/1/2018,
Finca Ventura,Jumilla,Levante,Spain,4/1/2018,4/1/2018,
Gancia,Piemonte,Piedmont,Italy,4/1/2018,4/1/2018,
Jean-Paul Brun,Morgon,Beaujolais,France,4/1/2018,4/1/2018,
La Voix,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Theopolis,Anderson Valley,California,US,4/1/2018,4/1/2018,
Kimmel,Mendocino,California,US,4/1/2018,4/1/2018,
Domaine Denis Jeandeau,Viré-Clessé,Burgundy,France,4/1/2018,4/1/2018,
Louis Max,Gevrey-Chambertin,Burgundy,France,4/1/2018,4/1/2018,
I Saltari,Amarone della Valpolicella,Veneto,Italy,4/1/2018,4/1/2018,
Miroballi Wines,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
Domaine Grossot,Chablis,Burgundy,France,4/1/2018,4/1/2018,
Cape May,New Jersey,New Jersey,US,4/1/2018,4/1/2018,
Blue Reef,South Eastern Australia,Australia Other,Australia,4/1/2018,4/1/2018,
Catharine Valley,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Rezonja,Alexander Valley,California,US,4/1/2018,4/1/2018,
Bocage,Monterey,California,US,4/1/2018,4/1/2018,
Woomera,South Eastern Australia,Australia Other,Australia,4/1/2018,4/1/2018,
Dezzani,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Valori,Montepulciano d'Abruzzo Colline Teramane,Central Italy,Italy,4/1/2018,4/1/2018,
Love That Red,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Cesari,Valpolicella Classico Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Olivier Leflaive,Volnay,Burgundy,France,4/1/2018,4/1/2018,
Domaine Perrot-Minot,Vosne-Romanée,Burgundy,France,4/1/2018,4/1/2018,
Jean-Claude Boisset,Gevrey-Chambertin,Burgundy,France,4/1/2018,4/1/2018,
Francis Ford Coppola,Knights Valley,California,US,4/1/2018,4/1/2018,
Godiolo,Rosso di Montepulciano,Tuscany,Italy,4/1/2018,4/1/2018,
Archer Roose,,Colchagua Valley,Chile,4/1/2018,4/1/2018,
Cosentino,Solano County,California,US,4/1/2018,4/1/2018,
C&T;,Napa-Sonoma,California,US,4/1/2018,4/1/2018,
Eden Canyon,Paso Robles,California,US,4/1/2018,4/1/2018,
Obvio,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Resta,Salice Salentino,Southern Italy,Italy,4/1/2018,4/1/2018,
Talisman,Carneros,California,US,4/1/2018,4/1/2018,
Tangent,Central Coast,California,US,4/1/2018,4/1/2018,
Drusian,Prosecco di Conegliano e Valdobbiadene,Veneto,Italy,4/1/2018,4/1/2018,
Jaillance,Clairette de Die,Rhône Valley,France,4/1/2018,4/1/2018,
Veraison,Napa Valley,California,US,4/1/2018,4/1/2018,
York Mountain Winery,Edna Valley,California,US,4/1/2018,4/1/2018,
Raúl Pérez,Bierzo,Northern Spain,Spain,4/1/2018,4/1/2018,
Tantara,Chalone,California,US,4/1/2018,4/1/2018,
Château la Fleur de Boüard,Lalande de Pomerol,Bordeaux,France,4/1/2018,4/1/2018,
Château La Forge,Saint-Émilion,Bordeaux,France,4/1/2018,4/1/2018,
Marietta Cellars,Yorkville Highlands,California,US,4/1/2018,4/1/2018,
Eleven Eleven,Rutherford,California,US,4/1/2018,4/1/2018,
Christophe Cordier,Viré-Clessé,Burgundy,France,4/1/2018,4/1/2018,
Domaine des Crets,Mâcon-Villages,Burgundy,France,4/1/2018,4/1/2018,
François Buffet,Savigny-lès-Beaune,Burgundy,France,4/1/2018,4/1/2018,
Les Frères Dutruy,,,,4/1/2018,4/1/2018,
Maurice Martin,Saint-Véran,Burgundy,France,4/1/2018,4/1/2018,
Les Crêtes,Valle d'Aosta,Northwestern Italy,Italy,4/1/2018,4/1/2018,
Louis Galud,Pouilly-Fuissé,Burgundy,France,4/1/2018,4/1/2018,
Mauro Sebaste,Roero Arneis,Piedmont,Italy,4/1/2018,4/1/2018,
Anne Amie,Oregon,Oregon,US,4/1/2018,4/1/2018,
Elvio Cogno,Dolcetto d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
T.A.T.T,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Ognissole,Salento,Southern Italy,Italy,4/1/2018,4/1/2018,
Wakefield,Clare Valley-Eden Valley,South Australia,Australia,4/1/2018,4/1/2018,
Landy Family Vineyards,Russian River Valley,California,US,4/1/2018,4/1/2018,
Retzlaff,Livermore Valley,California,US,4/1/2018,4/1/2018,
Beccarello,Veneto,Veneto,Italy,4/1/2018,4/1/2018,
Dauvergne & Ranvier,Costières de Nîmes,Rhône Valley,France,4/1/2018,4/1/2018,
Domaine Brusset,Ventoux,Rhône Valley,France,4/1/2018,4/1/2018,
Mas Oncle Ernest,Ventoux,Rhône Valley,France,4/1/2018,4/1/2018,
Sequiot,Valencia,Levante,Spain,4/1/2018,4/1/2018,
Retorno,Calatayud,Northern Spain,Spain,4/1/2018,4/1/2018,
Domaine Pierre Duret,Sancerre,Loire Valley,France,4/1/2018,4/1/2018,
Talamonti,Cerasuolo d'Abruzzo,Central Italy,Italy,4/1/2018,4/1/2018,
Caldora Vini,Montepulciano d'Abruzzo,Central Italy,Italy,4/1/2018,4/1/2018,
HQSA,,Valle de Guadalupe,Mexico,4/1/2018,4/1/2018,
Maragas,Oregon,Oregon,US,4/1/2018,4/1/2018,
Tussock Jumper,,Rheinhessen,Germany,4/1/2018,4/1/2018,
Sidebar,Mokelumne River,California,US,4/1/2018,4/1/2018,
SOLID,California,California,US,4/1/2018,4/1/2018,
Stéphane Aviron,Côte de Brouilly,Beaujolais,France,4/1/2018,4/1/2018,
Uvaggio,Carneros,California,US,4/1/2018,4/1/2018,
Antoine Simoneau,Touraine,Loire Valley,France,4/1/2018,4/1/2018,
Bailiwick,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Deering,Sonoma Valley,California,US,4/1/2018,4/1/2018,
Ottella,Lugana Superiore,Lombardy,Italy,4/1/2018,4/1/2018,
Château Cadet-Piola,Saint-Émilion,Bordeaux,France,4/1/2018,4/1/2018,
Terra de Falanis,Vi de la Terra Mallorca,Spanish Islands,Spain,4/1/2018,4/1/2018,
Owl Ridge,Russian River Valley,California,US,4/1/2018,4/1/2018,
Cellier des Chartreux,Côtes du Rhône,Rhône Valley,France,4/1/2018,4/1/2018,
Ghost Pines,Monterey County-Napa County-Sonoma County,California,US,4/1/2018,4/1/2018,
Main & Geary,Napa Valley,California,US,4/1/2018,4/1/2018,
J.V. Fleury,Châteauneuf-du-Pape,Rhône Valley,France,4/1/2018,4/1/2018,
Jean-Luc and Paul Aegerter,Chorey-lès-Beaune,Burgundy,France,4/1/2018,4/1/2018,
La Tosa,Gutturnio Classico Superiore,Central Italy,Italy,4/1/2018,4/1/2018,
Iby,,Mittelburgenland,Austria,4/1/2018,4/1/2018,
Mas de la Dame,Vin de Pays des Alpilles,Provence,France,4/1/2018,4/1/2018,
Monte Cinco,Luján de Cuyo,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Tenuta Klaus Lentsch,Alto Adige,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Franz Haas,Vigneti delle Dolomiti,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Roots,Chehalem Mountains,Oregon,US,4/1/2018,4/1/2018,
Tenuta Alzatura,Montefalco Sagrantino,Central Italy,Italy,4/1/2018,4/1/2018,
Le Cimate,Montefalco Sagrantino,Central Italy,Italy,4/1/2018,4/1/2018,
Les Hauts de Croix de Labrie,Saint-Émilion,Bordeaux,France,4/1/2018,4/1/2018,
P2,San Luis Obispo County,California,US,4/1/2018,4/1/2018,
Loredona,Lodi,California,US,4/1/2018,4/1/2018,
Marion-Bosser,Champagne,Champagne,France,4/1/2018,4/1/2018,
Collection des Anges,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Devil's Advocate,Paso Robles,California,US,4/1/2018,4/1/2018,
Twisted Cedar,Clarksburg,California,US,4/1/2018,4/1/2018,
Headbanger,California,California,US,4/1/2018,4/1/2018,
Paro,Sonoma Mountain,California,US,4/1/2018,4/1/2018,
Sweet Cheeks,Southern Oregon,Oregon,US,4/1/2018,4/1/2018,
Marziano Abbona,Nebbiolo d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Cartograph,Mendocino Ridge,California,US,4/1/2018,4/1/2018,
Château Sainte-Barbe,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Fattoria la Castellina,Rosso di Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Jasper Sisco,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Lima Smith,,Douro,Portugal,4/1/2018,4/1/2018,
Barrel Road,California,California,US,4/1/2018,4/1/2018,
Beacon Hill,Dundee Hills,Oregon,US,4/1/2018,4/1/2018,
Valdo,Prosecco di Conegliano e Valdobbiadene,Veneto,Italy,4/1/2018,4/1/2018,
Zanetti,Prosecco di Conegliano e Valdobbiadene,Veneto,Italy,4/1/2018,4/1/2018,
Zardetto,Italy,Italy Other,Italy,4/1/2018,4/1/2018,
Maccari Spumanti,Prosecco Superiore di Cartizze,Veneto,Italy,4/1/2018,4/1/2018,
Luca,Uco Valley,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Tarapaca,,Leyda Valley,Chile,4/1/2018,4/1/2018,
Work,Howell Mountain,California,US,4/1/2018,4/1/2018,
Arnaldo Caprai,Colli Martani,Central Italy,Italy,4/1/2018,4/1/2018,
Capel Vale,Mount Barker,Western Australia,Australia,4/1/2018,4/1/2018,
Domaine Gibault,Touraine,Loire Valley,France,4/1/2018,4/1/2018,
Fairhope,Napa Valley,California,US,4/1/2018,4/1/2018,
Finca El Origen,Cafayate,Other,Argentina,4/1/2018,4/1/2018,
Fog Alley,Central Coast,California,US,4/1/2018,4/1/2018,
Roquesán,Ribera del Duero,Northern Spain,Spain,4/1/2018,4/1/2018,
Burnt Bridge,Snipes Mountain,Washington,US,4/1/2018,4/1/2018,
Eterna Juventud,Rías Baixas,Galicia,Spain,4/1/2018,4/1/2018,
Stina's,Wahluke Slope,Washington,US,4/1/2018,4/1/2018,
Avelina,North Coast,California,US,4/1/2018,4/1/2018,
Diseño,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Orpheus,Napa County,California,US,4/1/2018,4/1/2018,
Finca Los Olmos,Maipú,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Cottesbrook,,South Island,New Zealand,4/1/2018,4/1/2018,
Domaine du Vissoux,Crémant de Bourgogne,Burgundy,France,4/1/2018,4/1/2018,
Jaffelin,Bourgogne,Burgundy,France,4/1/2018,4/1/2018,
Domaine Luquet,Mâcon-Fuissé,Burgundy,France,4/1/2018,4/1/2018,
Parkers Estate,North Coast,California,US,4/1/2018,4/1/2018,
L. Tramier & Fils,Viré-Clessé,Burgundy,France,4/1/2018,4/1/2018,
Locations,Washington,Washington,US,4/1/2018,4/1/2018,
Louis Max,Mâcon-Milly Lamartine,Burgundy,France,4/1/2018,4/1/2018,
Miner,California,California,US,4/1/2018,4/1/2018,
Suertes del Marqués,,Spanish Islands,Spain,4/1/2018,4/1/2018,
Sylvaine et Alain Normand,Mâcon La Roche Vineuse,Burgundy,France,4/1/2018,4/1/2018,
Domaine Viticole de la Ville de Colmar,Alsace,Alsace,France,4/1/2018,4/1/2018,
Joanne Weir,Napa Valley,California,US,4/1/2018,4/1/2018,
Pieve Vecchia,Maremma Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Tantara,Central Coast,California,US,4/1/2018,4/1/2018,
Ghostrunner,Lodi,California,US,4/1/2018,4/1/2018,
Lionel Osmin & Cie,,Southwest France,France,4/1/2018,4/1/2018,
Salton,,Serra Gaúcha,Brazil,4/1/2018,4/1/2018,
Terrapura,,Chile,Chile,4/1/2018,4/1/2018,
Arrowood,Alexander Valley,California,US,4/1/2018,4/1/2018,
J. Bookwalter,Red Mountain,Washington,US,4/1/2018,4/1/2018,
Maroon,Yountville,California,US,4/1/2018,4/1/2018,
Maison Bleue,Horse Heaven Hills,Washington,US,4/1/2018,4/1/2018,
Luis Felipe Edwards,,Maule Valley,Chile,4/1/2018,4/1/2018,
Carpineto,Rosso di Montepulciano,Tuscany,Italy,4/1/2018,4/1/2018,
Betwixt,Chalone,California,US,4/1/2018,4/1/2018,
David Duband,Côte de Nuits-Villages,Burgundy,France,4/1/2018,4/1/2018,
Gróf Degenfeld,,Tokaj,Hungary,4/1/2018,4/1/2018,
Kale,Rutherford,California,US,4/1/2018,4/1/2018,
Château Soussac,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Le Grascete,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Raphael,Verdicchio dei Castelli di Jesi Classico,Central Italy,Italy,4/1/2018,4/1/2018,
Malabaila,Roero,Piedmont,Italy,4/1/2018,4/1/2018,
Brady Cellars,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Saget la Perrière,Chinon,Loire Valley,France,4/1/2018,4/1/2018,
Château Haut-Macô,Côtes de Bourg,Bordeaux,France,4/1/2018,4/1/2018,
Licenciado,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Domaine les Grands Presbytères,Muscadet Sèvre et Maine,Loire Valley,France,4/1/2018,4/1/2018,
Siegel,,Maipo Valley,Chile,4/1/2018,4/1/2018,
Les Hauts de Tousquiron,Haut-Médoc,Bordeaux,France,4/1/2018,4/1/2018,
